id,question,link_1,link_2,predict_answer
4001,When was the Dewey County Courthouse built?,https://en.wikipedia.org/wiki/Dewey_County_Courthouse,"https://en.wikipedia.org/wiki/Dewey_County,_Oklahoma",1925
4002,What was the candle company founded in 1899?,https://en.wikipedia.org/wiki/S._S._Kresge,https://en.wikipedia.org/wiki/Bell_Telephone_Company,"In 1899 he founded his own company, with Charles J. Wilson"
4003,What is the purpose of the toroidal expansion joint?,https://en.wikipedia.org/wiki/Toroidal_expansion_joint,https://en.wikipedia.org/wiki/Expansion_joint,to allow for axial stroke while absorbing changes in expansion or contraction of the pipe line
4004,What was the name of the route it was intended to extend from Kearny to Hackensack?,https://en.wikipedia.org/wiki/Pulaski_Skyway,https://en.wikipedia.org/wiki/Garden_State_Parkway,Route 1
4005,What was the main focus of the republican movement?,https://en.wikipedia.org/wiki/Republican_Party_(United_States),https://en.wikipedia.org/wiki/Tea_Party_movement,lower taxes
4006,When was Siggiewi F.C. founded?,https://en.wikipedia.org/wiki/Siggiewi_F.C.,https://en.wikipedia.org/wiki/2010%E2%80%9311_Maltese_Third_Division,1945
4007,What USA law requires that foods be tested to determine if they are safe?,https://en.wikipedia.org/wiki/Pesticide_regulation_in_the_United_States,https://en.wikipedia.org/wiki/Food_safety,empty
4008,What was the name of the latest Nokia X6 handheld?,https://en.wikipedia.org/wiki/Symbian,https://en.wikipedia.org/wiki/History_of_Nokia,Nokia N70
4009,Who was the first active Marquette player?,https://en.wikipedia.org/wiki/Marquette_Golden_Eagles_men%27s_basketball,https://en.wikipedia.org/wiki/Dwyane_Wade,Wade
4010,Who holds the record for the most Grammy Award wins in the Mexican category?,https://en.wikipedia.org/wiki/Grammy_Award_for_Best_Regional_Mexican_Music_Album_(including_Tejano),https://en.wikipedia.org/wiki/Grammy_Award_for_Best_Mexican/Mexican-American_Album,Vicente Fernandez
4011,Who was president of the Methodist Conference in 1929?,https://en.wikipedia.org/wiki/William_Arthur_Dunn,https://en.wikipedia.org/wiki/List_of_presidents_of_the_Methodist_Conference,William Arthur Dunn
4012,Which wrestler won the 2008 Rey del Ring?,https://en.wikipedia.org/wiki/Rey_del_Ring_(2008),https://en.wikipedia.org/wiki/Rey_del_Ring_(2009),empty
4013,What was the name of the company that created Empires in Arms?,https://en.wikipedia.org/wiki/Empires_in_Arms,https://en.wikipedia.org/wiki/East_India_Company,Australian Design Group
