id,question,answer,link_1,link_2,predict_answer
1,What is the name of the locality that was named after a county?,Antiene,https://en.wikipedia.org/wiki/List_of_cities_and_counties_in_Virginia,https://en.wikipedia.org/wiki/Wikipedia:Naming_conventions_(geographic_names),cities
2,Who was the first woman to be selected as a Time Magazine Fellow?,Mary Sullivan,https://en.wikipedia.org/wiki/Sylvia_Earle,https://en.wikipedia.org/wiki/Isabella_Bird,Sylvia Alice Earle
3,What 15th century friar was a notable writer and a book collector?,Kanutus Johannis,https://en.wikipedia.org/wiki/The_Canterbury_Tales,https://en.wikipedia.org/wiki/Scriptorium,15th century
4,What does the Unstrut river form?,"the border between the Canton of St. Gallen, the district of St. Gallen and the Lower Saxony",https://en.wikipedia.org/wiki/Unstrut,https://en.wikipedia.org/wiki/Category:Unstrut_basin,Unstrut
5,Who was the eighteenth Shah of Shirvan?,Afridun the Martyr,https://en.wikipedia.org/wiki/Ahmad_of_Shirvan,https://en.wikipedia.org/wiki/Afridun_I,Ahmad ibn Muhammad
6,When is the D3 motorway expected to be completed?,2028,https://en.wikipedia.org/wiki/D3_motorway_(Czech_Republic),https://en.wikipedia.org/wiki/D3_motorway_(Slovakia),2024
7,What was the first example of a continuous geometry?,the projections of the hyperfinite type II factor,https://en.wikipedia.org/wiki/Continuous_geometry,https://en.wikipedia.org/wiki/Geometric_distribution,the projections of the hyperfinite type II factor
8,What year was Queen's second album released?,1987,https://en.wikipedia.org/wiki/Queen_discography,https://en.wikipedia.org/wiki/Queen_II,1993
9,"Who wrote the episode ""Stop-Loss""?",Andrew Chambliss,https://en.wikipedia.org/wiki/Stop-Loss_(Dollhouse),https://en.wikipedia.org/wiki/Stop-loss_policy,Félix Enríquez Alcalá
10,Who made the film Annadata?,K. Gopala Rao,https://en.wikipedia.org/wiki/Asit_Sen_(director),https://en.wikipedia.org/wiki/Anil_Dhawan,D.K. Mehta
11,What is the name of the county located in eastern New Hampshire that is home to Lake Wentworth?,Carroll County,https://en.wikipedia.org/wiki/Lake_Wentworth,"https://en.wikipedia.org/wiki/Wolfeboro,_New_Hampshire",Carroll County
